Metric Name, Min, Max, Mean, Median, P95
service_sla-0, 0.012929, 0.720560, 0.303776, 0.268128, 0.611287
service_sla-1, 0.025450, 1.519250, 0.446225, 0.435964, 0.864702
service_sla-2, 0.055653, 0.899853, 0.360385, 0.322240, 0.705925
service_sla-3, 0.065290, 0.635226, 0.343172, 0.334334, 0.551268
service_sla-4, 0.041542, 0.683104, 0.360270, 0.397900, 0.672310
service_sla-5, 0.050238, 1.040956, 0.355261, 0.262910, 0.759361
service_sla-6, 0.048207, 0.749502, 0.400085, 0.452520, 0.704104
service_sla-7, 0.045984, 0.812107, 0.362719, 0.373725, 0.641077
service_sla-8, 0.048972, 0.825944, 0.358731, 0.337459, 0.691291
service_sla-9, 0.073671, 0.753727, 0.333752, 0.267332, 0.627938
service_sla-10, 0.051582, 1.342421, 0.454139, 0.458070, 0.836338
service_sla-11, 0.150511, 1.363291, 0.466698, 0.463356, 1.046934
service_sla-12, 0.057197, 0.652625, 0.375957, 0.392462, 0.617763
service_sla-13, 0.062111, 0.800961, 0.376529, 0.327648, 0.728452
service_sla-14, 0.042660, 1.448228, 0.428998, 0.461413, 0.916895
service_sla-15, 0.118989, 1.322577, 0.469789, 0.494265, 0.879522
service_sla-16, 0.129754, 1.516189, 0.454706, 0.396370, 0.916979
service_sla-17, 0.076908, 1.341023, 0.444512, 0.448261, 0.839927
service_sla-18, 0.059885, 1.038057, 0.384910, 0.383935, 0.722769
service_sla-19, 0.042260, 1.411867, 0.465601, 0.408568, 0.922697
service_sla-20, 0.103244, 0.960180, 0.462816, 0.420579, 0.808603
service_sla-21, 0.068300, 0.981782, 0.424738, 0.444673, 0.742256
service_sla-22, 0.051288, 0.889457, 0.362930, 0.330444, 0.720966
service_sla-23, 0.058817, 1.517987, 0.471873, 0.469292, 0.819551
service_sla-24, 0.058240, 1.369764, 0.426773, 0.415799, 0.876232
service_sla-25, 0.106999, 0.707557, 0.422517, 0.469663, 0.655205
service_sla-26, 0.172549, 1.383886, 0.542482, 0.490690, 1.141142
service_sla-27, 0.066721, 0.928088, 0.461394, 0.450727, 0.838221
service_sla-28, 0.045941, 1.459089, 0.402715, 0.423057, 0.662535
service_sla-29, 0.046555, 1.020820, 0.445739, 0.449087, 0.739568
service_sla-30, 0.058161, 0.882997, 0.375482, 0.367342, 0.707651
service_sla-31, 0.058775, 1.445385, 0.446877, 0.386229, 0.822714
service_cpm-0, 0.050174, 0.864892, 0.416913, 0.353115, 0.733911
service_cpm-1, 0.105799, 1.505230, 0.444489, 0.368187, 0.734736
service_cpm-2, 0.112791, 0.792046, 0.420732, 0.470162, 0.665145
service_cpm-3, 0.104452, 0.800740, 0.400755, 0.432918, 0.768776
service_cpm-4, 0.079554, 1.519133, 0.495937, 0.441663, 1.362370
service_cpm-5, 0.040538, 1.268019, 0.425058, 0.402124, 0.683940
service_cpm-6, 0.061915, 1.342024, 0.464476, 0.428796, 0.918420
service_cpm-7, 0.146558, 1.013757, 0.443635, 0.432088, 0.708498
service_cpm-8, 0.058862, 1.388423, 0.467360, 0.427481, 0.890440
service_cpm-9, 0.090902, 1.373245, 0.458883, 0.413642, 0.777760
service_cpm-10, 0.083293, 1.450653, 0.567043, 0.470686, 1.367128
service_cpm-11, 0.107028, 1.467539, 0.514912, 0.416821, 1.136682
service_cpm-12, 0.157878, 0.930272, 0.422821, 0.407501, 0.771518
service_cpm-13, 0.136462, 0.801767, 0.411243, 0.398041, 0.671088
service_cpm-14, 0.106835, 1.017844, 0.432825, 0.427345, 0.782523
service_cpm-15, 0.125080, 0.907114, 0.470589, 0.486976, 0.761471
service_cpm-16, 0.058645, 0.926178, 0.456830, 0.469848, 0.820717
service_cpm-17, 0.098956, 1.463568, 0.422057, 0.399488, 0.679258
service_cpm-18, 0.108146, 0.827999, 0.452082, 0.466622, 0.657865
service_cpm-19, 0.108817, 0.927367, 0.462507, 0.465623, 0.729804
service_cpm-20, 0.139237, 1.320962, 0.464366, 0.399587, 0.848682
service_cpm-21, 0.124933, 0.753655, 0.414353, 0.400288, 0.643401
service_cpm-22, 0.157429, 1.457839, 0.515275, 0.519521, 0.828705
service_cpm-23, 0.128724, 0.862474, 0.467885, 0.541649, 0.807163
service_cpm-24, 0.133042, 1.475369, 0.450452, 0.432127, 0.755545
service_cpm-25, 0.055522, 1.037757, 0.472443, 0.486821, 0.775743
service_cpm-26, 0.151879, 1.239101, 0.469187, 0.440628, 0.848737
service_cpm-27, 0.165598, 1.056986, 0.439149, 0.373464, 0.769734
service_cpm-28, 0.064026, 1.467503, 0.470614, 0.448589, 0.741297
service_cpm-29, 0.145879, 0.741144, 0.381423, 0.365631, 0.621730
service_cpm-30, 0.106625, 1.479473, 0.500832, 0.498764, 0.898402
service_cpm-31, 0.048055, 1.386637, 0.543688, 0.495055, 1.299018
service_resp_time-0, 0.114607, 1.306401, 0.505525, 0.496474, 0.851917
service_resp_time-1, 0.154631, 1.038360, 0.416108, 0.368803, 0.799990
service_resp_time-2, 0.066394, 0.816661, 0.451999, 0.463142, 0.709218
service_resp_time-3, 0.160793, 1.012830, 0.470817, 0.494926, 0.668295
service_resp_time-4, 0.068794, 0.853914, 0.410584, 0.441302, 0.672746
service_resp_time-5, 0.108940, 0.823492, 0.463140, 0.505124, 0.666192
service_resp_time-6, 0.129756, 1.376685, 0.535015, 0.457608, 1.199448
service_resp_time-7, 0.145461, 1.319582, 0.521510, 0.480518, 1.160429
service_resp_time-8, 0.116795, 0.856087, 0.415104, 0.408851, 0.663919
service_resp_time-9, 0.156287, 0.932946, 0.429286, 0.383674, 0.781342
service_resp_time-10, 0.105862, 0.932275, 0.491479, 0.542250, 0.781249
service_resp_time-11, 0.149438, 0.931927, 0.407650, 0.409723, 0.726020
service_resp_time-12, 0.046502, 1.399718, 0.429275, 0.331098, 1.025269
service_resp_time-13, 0.071425, 1.332989, 0.511015, 0.531271, 1.129627
service_resp_time-14, 0.145786, 1.419025, 0.587068, 0.528382, 1.343128
service_resp_time-15, 0.156175, 1.400537, 0.476324, 0.417022, 1.004266
service_resp_time-16, 0.073890, 1.334518, 0.507149, 0.505637, 1.004105
service_resp_time-17, 0.149545, 1.395043, 0.506482, 0.497987, 0.885935
service_resp_time-18, 0.107651, 1.007955, 0.436024, 0.425728, 0.835711
service_resp_time-19, 0.087476, 1.017609, 0.429925, 0.455380, 0.733785
service_resp_time-20, 0.134021, 1.396909, 0.497410, 0.471645, 0.809701
service_resp_time-21, 0.093840, 0.871213, 0.455194, 0.468324, 0.683191
service_resp_time-22, 0.115694, 1.394405, 0.473144, 0.477328, 0.924057
service_resp_time-23, 0.145587, 1.312462, 0.436393, 0.373570, 0.776960
service_resp_time-24, 0.134572, 0.740029, 0.400092, 0.411864, 0.639286
service_resp_time-25, 0.168997, 1.288387, 0.442452, 0.424912, 0.769332
service_resp_time-26, 0.151005, 1.498154, 0.474735, 0.399923, 0.835145
service_resp_time-27, 0.066539, 1.335693, 0.441544, 0.395451, 0.803467
service_resp_time-28, 0.154874, 0.826827, 0.462684, 0.464959, 0.683993
service_resp_time-29, 0.154733, 0.845992, 0.400816, 0.389124, 0.636654
service_resp_time-30, 0.149028, 1.253439, 0.513896, 0.527944, 0.802875
service_resp_time-31, 0.137593, 0.983879, 0.461335, 0.474259, 0.770139
service_apdex-0, 0.120556, 1.488865, 0.525276, 0.506788, 0.904698
service_apdex-1, 0.058368, 0.875449, 0.466811, 0.512123, 0.810011
service_apdex-2, 0.085240, 0.997733, 0.461139, 0.486041, 0.752642
service_apdex-3, 0.152644, 1.060513, 0.493703, 0.473668, 0.896589
service_apdex-4, 0.122765, 0.763518, 0.468050, 0.471124, 0.730655
service_apdex-5, 0.071517, 1.312922, 0.441278, 0.443452, 0.781109
service_apdex-6, 0.085713, 1.524855, 0.527706, 0.404237, 1.324139
service_apdex-7, 0.143072, 1.469775, 0.505841, 0.468845, 1.001670
service_apdex-8, 0.058232, 1.321964, 0.451170, 0.447564, 0.708751
service_apdex-9, 0.070410, 0.949882, 0.365071, 0.326270, 0.717059
service_apdex-10, 0.093127, 1.492096, 0.470904, 0.401264, 1.089993
service_apdex-11, 0.136875, 1.064644, 0.464371, 0.479525, 0.822263
service_apdex-12, 0.065360, 1.501959, 0.484955, 0.461937, 0.866005
service_apdex-13, 0.064258, 1.508900, 0.449980, 0.411708, 0.697992
service_apdex-14, 0.102900, 0.805446, 0.420608, 0.374019, 0.787399
service_apdex-15, 0.097257, 1.496010, 0.444931, 0.409167, 0.817881
service_apdex-16, 0.081473, 1.322692, 0.411447, 0.357110, 0.643391
service_apdex-17, 0.107677, 0.817672, 0.432959, 0.434279, 0.779809
service_apdex-18, 0.116015, 1.418443, 0.548347, 0.528326, 1.105684
service_apdex-19, 0.077321, 0.784229, 0.406350, 0.403354, 0.756284
service_apdex-20, 0.097875, 1.514517, 0.485532, 0.420007, 0.972866
service_apdex-21, 0.123696, 1.361816, 0.503708, 0.441680, 1.126639
service_apdex-22, 0.124337, 1.324464, 0.438359, 0.451314, 0.734228
service_apdex-23, 0.143506, 1.018967, 0.431826, 0.392408, 0.777478
service_apdex-24, 0.104369, 1.438282, 0.531158, 0.451246, 1.305337
