Metric Name, Min, Max, Mean, Median, P95
service_resp_time-19, 0.116670, 1.327463, 0.484885, 0.426923, 1.002211
service_resp_time-20, 0.175305, 1.343482, 0.603900, 0.587649, 1.271827
service_resp_time-21, 0.138241, 1.311767, 0.513827, 0.458660, 1.117452
service_resp_time-22, 0.056797, 0.912340, 0.461862, 0.496373, 0.842451
service_resp_time-23, 0.049746, 1.596664, 0.508677, 0.436384, 1.125811
service_resp_time-24, 0.098940, 1.533668, 0.515112, 0.441830, 1.258721
service_resp_time-25, 0.057032, 0.911225, 0.441826, 0.414033, 0.838168
service_resp_time-26, 0.155681, 1.407826, 0.509560, 0.482692, 1.075137
service_resp_time-27, 0.058696, 1.489586, 0.525600, 0.523497, 0.843849
service_resp_time-28, 0.081059, 1.166538, 0.506887, 0.463211, 0.941107
service_resp_time-29, 0.185136, 1.664528, 0.571853, 0.510302, 1.053627
service_resp_time-30, 0.021762, 0.748388, 0.413613, 0.429547, 0.631510
service_resp_time-31, 0.054544, 1.501376, 0.495082, 0.422740, 1.228566
service_apdex-0, 0.070449, 1.640632, 0.481831, 0.440763, 1.085538
service_apdex-1, 0.102507, 0.928060, 0.477021, 0.505742, 0.789300
service_apdex-2, 0.114703, 1.347807, 0.518760, 0.498783, 1.023737
service_apdex-3, 0.146573, 0.947815, 0.433614, 0.430057, 0.702020
service_apdex-4, 0.126173, 1.025515, 0.515524, 0.534864, 0.842820
service_apdex-5, 0.137833, 1.294879, 0.492752, 0.474178, 0.880463
service_apdex-6, 0.129154, 1.348876, 0.503737, 0.497012, 0.891832
service_apdex-7, 0.117364, 1.097477, 0.460953, 0.483921, 0.775958
service_apdex-8, 0.096004, 1.235679, 0.527351, 0.509697, 0.899809
service_apdex-9, 0.061697, 1.273208, 0.483483, 0.476176, 0.922663
service_apdex-10, 0.070774, 1.273043, 0.516059, 0.512378, 0.984813
service_apdex-11, 0.190304, 1.130405, 0.496727, 0.439576, 0.845884
service_apdex-12, 0.121050, 1.646105, 0.511469, 0.448334, 1.080661
service_apdex-13, 0.210163, 1.448154, 0.542569, 0.550205, 0.820795
service_apdex-14, 0.084900, 1.299220, 0.558158, 0.593417, 1.098186
service_apdex-15, 0.070765, 1.426044, 0.468781, 0.436558, 0.828820
service_apdex-16, 0.130902, 1.562373, 0.564075, 0.473111, 1.325676
service_apdex-17, 0.062256, 1.512304, 0.487575, 0.481445, 0.816296
service_apdex-18, 0.139256, 1.014834, 0.435932, 0.367472, 0.755257
service_apdex-19, 0.128183, 0.980494, 0.465523, 0.479301, 0.762305
service_apdex-20, 0.120626, 1.483284, 0.465696, 0.432452, 0.748506
service_apdex-21, 0.127558, 1.528525, 0.569771, 0.494651, 1.319511
service_apdex-22, 0.062230, 1.463811, 0.491170, 0.466744, 0.884246
service_apdex-23, 0.139753, 0.829737, 0.442201, 0.446768, 0.792096
service_apdex-24, 0.104632, 1.459327, 0.578603, 0.483806, 1.308423
