0.112202,0.111739,0.113551,0.104174,0.115263,0.113222,0.111179,0.111036,0.086553,0.112611
0.095516,0.102252,0.102899,0.099572,0.080857,0.096918,0.083757,0.094985,0.094210,0.096293
0.044531,0.061227,0.053142,0.060268,0.060486,0.059544,0.061424,0.053392,0.060948,0.061772
0.099704,0.080721,0.100157,0.099249,0.080584,0.099443,0.100418,0.099313,0.100209,0.080678
0.120842,0.119530,0.122590,0.114260,0.114107,0.114170,0.120175,0.123423,0.114260,0.122455
0.172784,0.195493,0.198264,0.162721,0.159708,0.189617,0.160336,0.193360,0.172566,0.195145
0.082427,0.096004,0.088788,0.090005,0.088218,0.077967,0.096124,0.088765,0.096293,0.096036
0.062895,0.080840,0.078973,0.079236,0.075955,0.078066,0.074972,0.075961,0.082516,0.076364
0.058662,0.055477,0.056131,0.058867,0.049748,0.058337,0.061991,0.059624,0.061666,0.049976
0.082573,0.087018,0.060014,0.081795,0.074483,0.086367,0.083184,0.075759,0.060062,0.093024
0.046670,0.053956,0.060198,0.046647,0.056407,0.057276,0.052063,0.059810,0.057446,0.058178
0.056848,0.066023,0.061937,0.065170,0.050036,0.065280,0.044794,0.044964,0.047347,0.062315
0.228283,0.141810,0.120532,0.050885,0.188907,0.104206,0.104188,0.095854,0.089442,0.028208
0.074610,0.151466,0.162699,0.167582,0.072325,0.168242,0.151618,0.165835,0.151177,0.078574
0.058633,0.048418,0.064956,0.067500,0.065488,0.060497,0.064679,0.069893,0.057878,0.066131
0.062463,0.056316,0.056078,0.045729,0.055738,0.060301,0.060290,0.045965,0.045684,0.061374
0.102659,0.101181,0.102185,0.077196,0.102465,0.101526,0.106431,0.094751,0.102518,0.100172
0.069451,0.063415,0.172073,0.080530,0.106727,0.057615,0.174041,0.046016,0.190518,0.120376
0.083895,0.093980,0.089893,0.046025,0.093646,0.094411,0.086396,0.089743,0.045958,0.048650
0.114210,0.116656,0.110887,0.116157,0.114241,0.117986,0.106065,0.118872,0.118514,0.102345
0.069726,0.063182,0.070691,0.067894,0.040729,0.059962,0.067229,0.059900,0.062184,0.062655
0.109303,0.112039,0.110246,0.101864,0.110793,0.125677,0.111735,0.113198,0.109979,0.097663
0.169305,0.167170,0.187763,0.182485,0.152872,0.140762,0.172743,0.134483,0.096085,0.173823
0.043466,0.111460,0.078028,0.100142,0.055025,0.089397,0.038080,0.043797,0.046693,0.100235
0.146710,0.169819,0.204117,0.068932,0.124890,0.137059,0.068119,0.068968,0.090710,0.110502
0.119299,0.113348,0.098224,0.091662,0.090852,0.114475,0.101232,0.116897,0.120461,0.115317
0.064972,0.066089,0.050053,0.065593,0.064282,0.057436,0.068910,0.057816,0.067786,0.068408
0.081523,0.056530,0.080901,0.081976,0.056664,0.046033,0.075758,0.078192,0.045906,0.071116
0.061157,0.043930,0.041461,0.057462,0.056910,0.052984,0.056812,0.052983,0.058442,0.059186
