Metric Name, Min, Max, Mean, Median, P95
service_instance_resp_time-0, 0.009649, 0.688229, 0.195741, 0.126594, 0.424999
service_instance_resp_time-1, 0.009450, 1.463615, 0.217280, 0.142640, 0.435088
service_instance_resp_time-2, 0.036739, 1.349988, 0.257002, 0.195142, 0.681039
service_instance_resp_time-3, 0.043384, 0.820306, 0.247293, 0.181498, 0.537408
service_instance_resp_time-4, 0.055257, 1.463259, 0.299790, 0.214911, 0.892039
service_instance_resp_time-5, 0.056164, 1.364433, 0.254996, 0.174058, 0.620468
service_instance_resp_time-6, 0.059193, 1.384103, 0.246326, 0.168673, 0.608158
service_instance_resp_time-7, 0.045043, 0.458776, 0.206123, 0.206280, 0.429274
service_instance_resp_time-8, 0.039971, 1.465026, 0.288419, 0.176269, 0.982912
service_instance_resp_time-9, 0.048488, 1.478756, 0.277034, 0.188222, 1.010987
service_instance_resp_time-10, 0.033646, 0.606451, 0.202955, 0.144110, 0.497575
service_instance_resp_time-11, 0.040000, 1.023176, 0.228985, 0.140331, 0.620406
service_instance_resp_time-12, 0.057613, 0.635314, 0.249233, 0.213110, 0.531351
service_instance_resp_time-13, 0.055335, 0.628591, 0.224697, 0.182703, 0.532571
service_instance_resp_time-14, 0.062271, 1.442211, 0.274127, 0.205499, 0.521282
service_instance_resp_time-15, 0.048330, 0.620615, 0.214998, 0.169614, 0.409397
service_instance_resp_time-16, 0.034042, 0.567263, 0.215982, 0.144796, 0.447106
service_instance_resp_time-17, 0.058580, 0.773021, 0.230671, 0.183666, 0.478602
service_instance_resp_time-18, 0.030605, 0.465062, 0.196014, 0.166751, 0.432574
service_instance_resp_time-19, 0.053276, 0.616212, 0.228484, 0.166704, 0.504953
service_instance_resp_time-20, 0.065387, 1.367119, 0.279304, 0.233910, 0.528697
service_instance_resp_time-21, 0.043500, 0.861735, 0.222383, 0.148292, 0.451416
service_instance_resp_time-22, 0.015864, 0.574751, 0.243582, 0.200342, 0.445735
service_instance_resp_time-23, 0.051179, 0.446450, 0.195791, 0.156515, 0.418517
service_instance_resp_time-24, NaN, NaN, NaN, NaN, NaN
service_instance_resp_time-25, NaN, NaN, NaN, NaN, NaN
service_instance_resp_time-26, NaN, NaN, NaN, NaN, NaN
service_instance_resp_time-27, NaN, NaN, NaN, NaN, NaN
service_instance_resp_time-28, NaN, NaN, NaN, NaN, NaN
service_instance_resp_time-29, NaN, NaN, NaN, NaN, NaN
service_instance_resp_time-30, NaN, NaN, NaN, NaN, NaN
service_instance_resp_time-31, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-0, 0.041976, 0.460547, 0.218619, 0.192491, 0.419303
service_instance_cpm-1, 0.064706, 0.625821, 0.227609, 0.167600, 0.561917
service_instance_cpm-2, 0.036645, 0.612765, 0.224755, 0.192243, 0.498328
service_instance_cpm-3, 0.064625, 0.827082, 0.218966, 0.168008, 0.534502
service_instance_cpm-4, 0.050389, 0.452762, 0.206820, 0.220638, 0.417392
service_instance_cpm-5, 0.056679, 1.445344, 0.260050, 0.176321, 0.659425
service_instance_cpm-6, 0.036839, 0.662561, 0.230905, 0.161500, 0.570671
service_instance_cpm-7, 0.022499, 0.470107, 0.218180, 0.206952, 0.427418
service_instance_cpm-8, 0.058160, 1.173542, 0.238185, 0.165553, 0.535021
service_instance_cpm-9, 0.072308, 0.456008, 0.220291, 0.201927, 0.437447
service_instance_cpm-10, 0.063292, 0.617875, 0.252456, 0.220388, 0.449941
service_instance_cpm-11, 0.041728, 1.459457, 0.285235, 0.133393, 0.988722
service_instance_cpm-12, 0.064405, 0.617785, 0.256288, 0.225439, 0.534318
service_instance_cpm-13, 0.018046, 0.626781, 0.228873, 0.176227, 0.540997
service_instance_cpm-14, 0.041774, 0.618992, 0.226504, 0.179622, 0.491931
service_instance_cpm-15, 0.057313, 1.173490, 0.254777, 0.166012, 0.615281
service_instance_cpm-16, 0.055329, 0.616607, 0.204343, 0.141957, 0.413790
service_instance_cpm-17, 0.042351, 0.729885, 0.234624, 0.193214, 0.567704
service_instance_cpm-18, 0.052170, 0.700370, 0.242369, 0.232029, 0.439294
service_instance_cpm-19, 0.048989, 1.399128, 0.270465, 0.142655, 0.614871
service_instance_cpm-20, 0.059684, 1.340396, 0.269715, 0.179072, 0.532843
service_instance_cpm-21, 0.033872, 1.401006, 0.258528, 0.170826, 0.494779
service_instance_cpm-22, 0.055925, 0.496436, 0.213044, 0.148967, 0.450184
service_instance_cpm-23, 0.056840, 0.686800, 0.227453, 0.170774, 0.549357
service_instance_cpm-24, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-25, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-26, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-27, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-28, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-29, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-30, NaN, NaN, NaN, NaN, NaN
service_instance_cpm-31, NaN, NaN, NaN, NaN, NaN
